Facility,Date,Year,Season,Month,Day_Name,Is_Holiday,Holiday_Name,Total_Violations,Avg_WindSpeed,Avg_Precipitation,Avg_Snowfall,Avg_SnowDepth,Avg_Temperature_Max,Avg_Temperature_Min,Total_Traffic
Bayonne,9/19/2016,2016,Autumn,9,Monday,0,NA,51,2.46,1,0,0,76,69,1714
Bayonne,9/20/2016,2016,Autumn,9,Tuesday,0,NA,142,2.24,0,0,0,82,68,5145
Bayonne,9/21/2016,2016,Autumn,9,Wednesday,0,NA,152,3.8,0,0,0,84,68,5439
Bayonne,9/22/2016,2016,Autumn,9,Thursday,0,NA,149,2.46,0,0,0,86,65,5413
Bayonne,9/23/2016,2016,Autumn,9,Friday,0,NA,137,1.79,0,0,0,87,64,5569
Bayonne,9/25/2016,2016,Autumn,9,Sunday,0,NA,60,2.91,0,0,0,70,54,2811
Bayonne,9/26/2016,2016,Autumn,9,Monday,0,NA,155,4.47,0,0,0,74,54,5153
Bayonne,9/27/2016,2016,Autumn,9,Tuesday,0,NA,113,3.13,0,0,0,74,64,5111
Bayonne,9/28/2016,2016,Autumn,9,Wednesday,0,NA,116,8.05,0,0,0,69,56,5207
Bayonne,9/29/2016,2016,Autumn,9,Thursday,0,NA,136,11.18,0,0,0,64,57,5248
Bayonne,9/30/2016,2016,Autumn,9,Friday,0,NA,147,9.62,0,0,0,59,56,5904
Bayonne,10/1/2016,2016,Autumn,10,Saturday,0,NA,16,7.61,0,0,0,62,56,646
Bayonne,10/2/2016,2016,Autumn,10,Sunday,0,NA,112,2.68,0,0,0,63,57,4446
Bayonne,10/3/2016,2016,Autumn,10,Monday,0,NA,126,2.24,0,0,0,72,60,4609
Bayonne,10/4/2016,2016,Autumn,10,Tuesday,0,NA,112,7.61,0,0,0,69,60,4598
Bayonne,10/5/2016,2016,Autumn,10,Wednesday,0,NA,125,4.7,0,0,0,67,53,5170
Bayonne,10/6/2016,2016,Autumn,10,Thursday,0,NA,138,2.01,0,0,0,73,55,5308
Bayonne,10/7/2016,2016,Autumn,10,Friday,0,NA,184,2.46,0,0,0,75,57,7533
Bayonne,10/8/2016,2016,Autumn,10,Saturday,0,NA,223,2.01,0,0,0,68,58,6265
Bayonne,10/9/2016,2016,Autumn,10,Sunday,0,NA,124,7.38,1,0,0,65,51,5103
Bayonne,10/10/2016,2016,Autumn,10,Monday,1,Columbus Day,148,4.7,0,0,0,64,47,6426
Bayonne,10/11/2016,2016,Autumn,10,Tuesday,0,NA,182,3.58,0,0,0,63,46,6173
Bayonne,10/12/2016,2016,Autumn,10,Wednesday,0,NA,132,1.12,0,0,0,66,53,4712
Bayonne,10/13/2016,2016,Autumn,10,Thursday,0,NA,117,2.91,0,0,0,67,53,5308
Bayonne,10/14/2016,2016,Autumn,10,Friday,0,NA,132,4.7,0,0,0,62,47,5829
Bayonne,10/15/2016,2016,Autumn,10,Saturday,0,NA,194,3.13,0,0,0,65,45,5758
Bayonne,10/16/2016,2016,Autumn,10,Sunday,0,NA,176,4.03,0,0,0,69,53,6303
Bayonne,10/17/2016,2016,Autumn,10,Monday,0,NA,153,2.68,0,0,0,81,63,5034
Bayonne,10/18/2016,2016,Autumn,10,Tuesday,0,NA,123,4.03,0,0,0,81,67,4855
Bayonne,10/19/2016,2016,Autumn,10,Wednesday,0,NA,131,4.47,0,0,0,85,65,5108
Bayonne,10/20/2016,2016,Autumn,10,Thursday,0,NA,141,6.26,0,0,0,70,62,5273
Bayonne,10/21/2016,2016,Autumn,10,Friday,0,NA,172,2.24,1,0,0,69,57,5996
Bayonne,10/23/2016,2016,Autumn,10,Sunday,0,NA,47,8.5,0,0,0,61,45,2138
Bayonne,10/24/2016,2016,Autumn,10,Monday,0,NA,141,6.04,0,0,0,62,47,4863
Bayonne,10/25/2016,2016,Autumn,10,Tuesday,0,NA,135,6.49,0,0,0,52,43,4720
Bayonne,10/26/2016,2016,Autumn,10,Wednesday,0,NA,135,4.03,0,0,0,51,38,5211
Bayonne,10/27/2016,2016,Autumn,10,Thursday,0,NA,119,5.14,1,0,0,55,40,5002
Bayonne,10/28/2016,2016,Autumn,10,Friday,0,NA,151,8.28,0,0,0,51,42,5862
Bayonne,10/30/2016,2016,Autumn,10,Sunday,0,NA,47,3.8,1,0,0,76,54,1364
Bayonne,10/31/2016,2016,Autumn,10,Monday,0,NA,130,4.92,0,0,0,54,44,5001
Bayonne,11/1/2016,2016,Autumn,11,Tuesday,0,NA,144,3.13,0,0,0,58,40,5158
Bayonne,11/2/2016,2016,Autumn,11,Wednesday,0,NA,134,3.13,0,0,0,70,54,5248
Bayonne,11/3/2016,2016,Autumn,11,Thursday,0,NA,149,5.14,0,0,0,72,57,5448
Bayonne,11/4/2016,2016,Autumn,11,Friday,0,NA,192,4.7,0,0,0,61,47,6066
Bayonne,11/5/2016,2016,Autumn,11,Saturday,0,NA,137,3.13,0,0,0,62,44,4301
Bayonne,11/6/2016,2016,Autumn,11,Sunday,0,NA,158,7.61,0,0,0,59,45,5882
Bayonne,11/7/2016,2016,Autumn,11,Monday,0,NA,158,5.37,0,0,0,53,41,5271
Bayonne,11/8/2016,2016,Autumn,11,Tuesday,0,NA,118,2.46,0,0,0,66,41,5020
Bayonne,11/9/2016,2016,Autumn,11,Wednesday,0,NA,154,3.58,0,0,0,59,49,5571
Bayonne,11/10/2016,2016,Autumn,11,Thursday,0,NA,151,5.82,0,0,0,56,40,5476
Bayonne,11/11/2016,2016,Autumn,11,Friday,1,Veterans Day,142,8.28,0,0,0,63,41,4797
Bayonne,11/12/2016,2016,Autumn,11,Saturday,0,NA,7,5.37,0,0,0,50,37,178
Bayonne,11/13/2016,2016,Autumn,11,Sunday,0,NA,202,5.37,0,0,0,61,41,6081
Bayonne,11/14/2016,2016,Autumn,11,Monday,0,NA,153,3.58,0,0,0,62,46,5233
Bayonne,11/15/2016,2016,Autumn,11,Tuesday,0,NA,126,5.59,2,0,0,56,47,5054
Bayonne,11/16/2016,2016,Autumn,11,Wednesday,0,NA,158,4.03,0,0,0,61,45,5397
Bayonne,11/17/2016,2016,Autumn,11,Thursday,0,NA,148,4.25,0,0,0,61,49,5636
Bayonne,11/18/2016,2016,Autumn,11,Friday,0,NA,176,2.46,0,0,0,64,44,6192
Bayonne,11/19/2016,2016,Autumn,11,Saturday,0,NA,205,4.92,0,0,0,63,37,5842
Bayonne,11/20/2016,2016,Autumn,11,Sunday,0,NA,145,10.29,0,0,0,42,34,5355
Bayonne,11/21/2016,2016,Autumn,11,Monday,0,NA,197,13.2,0,0,0,41,36,6027
Bayonne,11/22/2016,2016,Autumn,11,Tuesday,0,NA,190,9.62,0,0,0,41,37,6766
Bayonne,11/23/2016,2016,Autumn,11,Wednesday,0,NA,264,4.92,0,0,0,45,35,8565
Bayonne,11/24/2016,2016,Autumn,11,Thursday,1,Thanksgiving Day,182,4.47,0,0,0,48,38,5851
Bayonne,11/25/2016,2016,Autumn,11,Friday,1,Day After Thanksgiving,184,2.01,0,0,0,54,45,5592
Bayonne,11/26/2016,2016,Autumn,11,Saturday,0,NA,180,4.47,0,0,0,50,40,5253
Bayonne,11/27/2016,2016,Autumn,11,Sunday,0,NA,218,4.7,0,0,0,50,39,7886
Bayonne,11/28/2016,2016,Autumn,11,Monday,0,NA,159,3.36,0,0,0,52,38,5298
